time,islands_size,island_capacity,islands_distance,islands_diversity,individual_count
31,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
32,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
33,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
34,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
35,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 9]","[11, 9]"
36,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 9]","[11, 9]"
37,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 9]","[11, 9]"
38,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 9]","[11, 9]"
39,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 10]","[11, 10]"
40,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 10]","[11, 10]"
41,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
42,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
43,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
44,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
45,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
46,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
47,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
48,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
49,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
50,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
51,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
52,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
53,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
54,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
55,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
56,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[11, 11]","[11, 11]"
57,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
58,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
59,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
60,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
61,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
62,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
63,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
64,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[12, 11]","[12, 11]"
65,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[13, 11]","[13, 11]"
66,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
67,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
68,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
69,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
70,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
71,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
72,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
73,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
74,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[14, 12]","[14, 12]"
75,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[16, 12]","[16, 12]"
76,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[16, 12]","[16, 12]"
77,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[16, 12]","[16, 12]"
78,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[17, 12]","[17, 12]"
79,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[17, 13]","[17, 13]"
80,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[17, 13]","[17, 13]"
81,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[17, 13]","[17, 13]"
82,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[17, 13]","[17, 13]"
83,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[18, 13]","[18, 13]"
84,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[18, 13]","[18, 13]"
85,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[18, 13]","[18, 13]"
86,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[18, 13]","[18, 13]"
87,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[18, 13]","[18, 13]"
88,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[19, 13]","[19, 13]"
89,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[19, 13]","[19, 13]"
90,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[19, 13]","[19, 13]"
91,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[19, 13]","[19, 13]"
92,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 13]","[20, 13]"
93,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 13]","[20, 13]"
94,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 13]","[20, 13]"
95,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 13]","[20, 13]"
96,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 13]","[20, 13]"
